"0","Variable","Description Label","Community, NonDual, Aged","Community, NonDual, Disabled","Community, FBDual, Aged","Community, FBDual, Disabled","Community, PBDual, Aged","Community, PBDual, Disabled","Institutional"
"1","Female","","","","","","","",""
"2","0-34 Years","","-","0.238","-","0.346","-","0.454","0.948"
"3","35-44 Years","","-","0.288","-","0.332","-","0.420","0.810"
"4","45-54 Years","","-","0.340","-","0.384","-","0.404","1.031"
"5","55-59 Years","","-","0.385","-","0.421","-","0.424","0.949"
"6","60-64 Years","","-","0.436","-","0.502","-","0.414","0.881"
"7","65-69 Years","","0.330","-","0.435","-","0.365","-","1.188"
"8","70-74 Years","","0.395","-","0.506","-","0.423","-","1.119"
"9","75-79 Years","","0.465","-","0.596","-","0.485","-","0.965"
"10","80-84 Years","","0.524","-","0.665","-","0.544","-","0.862"
"11","85-89 Years","","0.624","-","0.775","-","0.618","-","0.750"
"12","90-94 Years","","0.737","-","0.869","-","0.738","-","0.627"
"13","95 Years or Over","","0.742","-","0.877","-","0.835","-","0.481"
"14","Male","","","","","","","",""
"15","0-34 Years","","-","0.106","-","0.191","-","0.306","0.826"
"16","35-44 Years","","-","0.154","-","0.204","-","0.261","0.719"
"17","45-54 Years","","-","0.215","-","0.293","-","0.300","0.991"
"18","55-59 Years","","-","0.283","-","0.410","-","0.353","0.989"
"19","60-64 Years","","-","0.345","-","0.504","-","0.374","0.917"
"20","65-69 Years","","0.332","-","0.531","-","0.375","-","1.275"
"21","70-74 Years","","0.396","-","0.626","-","0.417","-","1.224"
"22","75-79 Years","","0.502","-","0.714","-","0.498","-","1.319"
"23","80-84 Years","","0.571","-","0.789","-","0.565","-","1.238"
"24","85-89 Years","","0.664","-","0.907","-","0.615","-","1.135"
"25","90-94 Years","","0.800","-","0.993","-","0.712","-","0.946"
"26","95 Years or Over","","0.896","-","1.058","-","0.904","-","0.825"
"27","Medicaid and Originally Disabled Interactions","","","","","","","",""
"28","Originally Disabled, Female","","0.228","-","0.160","-","0.103","-","-"
"29","Originally Disabled, Male","","0.135","-","0.158","-","0.075","-","-"
"30","Medicaid","","-","-","-","-","-","-","0.130"
"31","Disease Coefficients","","","","","","","",""
"32","HCC1","HIV/AIDS","0.301","0.213","0.397","0.237","0.196","0.109","1.322"
"33","HCC2","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","0.500","0.598","0.649","0.780","0.447","0.591","0.605"
"34","HCC6","Opportunistic Infections","0.381","0.763","0.588","0.833","0.518","0.685","0.728"
"35","HCC17","Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic","4.209","3.995","3.896","4.235","3.946","4.103","1.952"
"36","HCC18","Cancer Metastatic to Bone, Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid","2.341","2.486","2.277","2.537","2.166","2.403","1.110"
"37","HCC19","Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers","1.798","1.989","1.563","1.661","1.520","1.554","0.957"
"38","HCC20","Lung and Other Severe Cancers","1.136","0.978","1.166","1.173","1.214","1.067","0.672"
"39","HCC21","Lymphoma and Other Cancers","0.671","0.540","0.654","0.739","0.627","0.618","0.493"
"40","HCC22","Bladder, Colorectal, and Other Cancers","0.363","0.366","0.382","0.409","0.410","0.351","0.314"
"41","HCC23","Prostate, Breast, and Other Cancers and Tumors","0.186","0.233","0.196","0.218","0.203","0.237","0.197"
"42","HCC35","Pancreas Transplant Status","0.949","1.393","1.117","0.573","1.117","2.740","1.106"
"43","HCC36","Diabetes with Severe Acute Complications","0.166","0.191","0.186","0.235","0.166","0.210","0.280"
"44","HCC37","Diabetes with Chronic Complications","0.166","0.191","0.186","0.235","0.166","0.210","0.280"
"45","HCC38","Diabetes with Glycemic, Unspecified, or No Complications","0.166","0.191","0.186","0.235","0.166","0.210","0.280"
"46","HCC48","Morbid Obesity","0.186","0.144","0.300","0.178","0.164","0.118","0.442"
"47","HCC49","Specified Lysosomal Storage Disorders","9.256","13.778","2.833","6.399","3.269","7.771","1.528"
"48","HCC50","Amyloidosis, Porphyria, and Other Specified Metabolic Disorders","0.648","0.883","0.555","0.789","0.435","0.529","0.362"
"49","HCC51","Addison's and Cushing's Diseases, Acromegaly, and Other Specified Endocrine Disorders","0.510","0.606","0.634","0.654","0.313","0.393","0.620"
"50","HCC62","Liver Transplant Status/Complications","0.376","0.184","0.261","0.409","0.571","0.271","0.593"
"51","HCC63","Chronic Liver Failure/End-Stage Liver Disorders","0.962","1.032","1.102","1.209","0.861","1.101","0.894"
"52","HCC64","Cirrhosis of Liver","0.447","0.383","0.475","0.414","0.391","0.270","0.378"
"53","HCC65","Chronic Hepatitis","0.185","0.248","0.101","0.220","0.156","0.189","0.378"
"54","HCC68","Cholangitis and Obstruction of Bile Duct Without Gallstones","0.388","0.383","0.085","0.354","0.391","0.270","0.090"
"55","HCC77","Intestine Transplant Status/Complications","1.172","6.301","5.039","6.161","5.039","5.039","5.089"
"56","HCC78","Intestinal Obstruction/Perforation","0.326","0.534","0.382","0.548","0.478","0.688","0.380"
"57","HCC79","Chronic Pancreatitis","0.357","0.574","0.525","0.799","0.444","0.709","0.218"
"58","HCC80","Crohn's Disease (Regional Enteritis)","0.550","0.635","0.490","0.651","0.479","0.603","0.374"
